Node	Name	Province	Load Node	UB_kV	Position	Latitude	Longitude	Transfos	SharePop	SharePV	ShareOnShore	ShareHydro	ShareDist_gen	ShareGeothermal	Share_Batt_Li_Large	Share_Batt_Li_Small	Share_Heat_Elec	Share_Indu_Heat_Elec	Share_HubELEC	Share_CCS_Industry	Share_Tram	ShareCar	ShareTruck	Share_TrainFreight	Share_TrainPass	H2Share_Electrolysis	H2ShareImport	H2ShareExportH2	H2ShareAMMONIA_TO_H2	H2ShareProduction	H2ShareCarFuelCell	H2ShareBusHybridH2	H2ShareFreight	H2ShareIndustrial	H2ShareH2toP	H2ShareStorage
1	ACHEN	Namur	Load	380	50.267829470724074, 5.045634109688166	50.26782947	5.04563411	270	0.0113	0.023	0.056	0	0.0113	0	0.027	0.024	0.0113	0	0	0	0	0.021	0.023	0.022306209	0.022306209	0	0	0	0	0	0	0	0	0	0	0
2	AUBAN220	Luxembourg	Load	220	49.56383767474674, 5.799275871164618	49.56383767	5.799275871	240	0.0103	0.009	0.049	0.022	0.0103	0	0.017	0.008	0.0103	0	0	0	0	0.006	0.007	0.022306209	0.022306209	0	0	0	0	0	0	0	0	0	0	0
3	AUBAN380	Luxembourg	Load	380	49.56383767474674, 5.799275871164618	49.56383767	5.799275871	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	AVLGM	WV	Load	380	50.77413141437558, 3.445315789524513	50.77413141	3.44531579	1035	0.0735	0.049	0.022	0	0.0735	0	0.041	0.047	0.0735	0	0	0	0	0.036	0.046	0.033732249	0.033732249	0	0	0	0	0	0	0	0	0	0	0
5	AWIRS	Liege	Load	220	50.60045462934521, 5.408942012662039	50.60045463	5.408942013	560	0.0089	0.01	0.013	0.11	0.0089	0	0.01	0.01	0.0089	0.049	0.049	0	0	0.01	0.01	0.022306209	0.022306209	0	0	0	0	0	0	0	0	0	0	0
6	BERN	Liege	Transfer	220	50.743176527163335, 5.7312091466413015	50.74324301	5.731314208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	BRUEG	VB	Load	380	50.83851926205592, 4.262445268382964	50.83851926	4.262445268	1260	0.0671	0.046	0.011	0	0.0671	0	0.034	0.049	0.0671	0	0	0	0.141	0.074	0.061	0.072002485	0.072002485	0.15	0	0	0	0.15	0.237	0.234	0.199	0	0.225	0
8	BRUME	Liege	Load	380	50.37604455596071, 5.853543804011144	50.37604456	5.853543804	297	0.0248	0.01	0.013	0.211	0.0248	0	0.01	0.01	0.0248	0	0	0	0	0.01	0.01	0.022306209	0.022306209	0	0	0	0	0	0	0	0	0	0	0
9	BUGG+	OV	Transfer	380	51.014664633791625, 4.200122986284848	51.01466463	4.200122986	0	0.0178	0	0	0	0.0178	0	0	0	0.0178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	CHAMP	Namur	Load	380	50.496349395688995, 4.903765282507822	50.4963494	4.903765283	492	0.0276	0.023	0.056	0.063	0.0276	0	0.027	0.024	0.0276	0	0	0	0	0.021	0.023	0.022306209	0.022306209	0	0	0	0	0	0	0	0	0	0	0
11	COO	Liege	Transfer	380	50.394631919504555, 5.8726156350426235	50.39463192	5.872615635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	COURC	Hainaut	Transfer	380	50.46313914941787, 4.330503287827228	50.46313915	4.330503288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17	0.152	0.196	0.141	0.133	0.155	0
13	DOEL	OV	Load	380	51.311454178600854, 4.266519753632011	51.31145418	4.266519754	155	0.0112	0.039	0.036	0	0.0112	0	0.036	0.037	0.0112	0.101	0.101	0	0	0.031	0.034	0.033732249	0.033732249	0	0	0	0	0	0	0	0	0	0	0
14	EEKLN	OV	Load	380	51.185988969198306, 3.5614453642412025	51.18598897	3.561445364	465	0.0076	0.039	0.036	0	0.0076	0	0.036	0.037	0.0076	0	0	0	0	0.031	0.034	0.033732249	0.033732249	0	0	0	0	0	0	0	0	0	0	0
15	GEZEL	WV	Transfer	380	51.2876667708288, 3.188490339894914	51.28766677	3.18849034	0	0.0122	0	0	0	0.0122	0	0	0	0.0122	0	0	0.102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	GOUY	Hainaut	Load	380	50.39520728194897, 4.427579609761498	50.39520728	4.42757961	930	0.0985	0.082	0.083	0	0.0985	0	0.075	0.096	0.0985	0.067	0.067	0.258	0.076	0.093	0.081	0.022306209	0.022306209	0.17	0	0	0	0	0	0	0	0	0	0
17	GRAMM	Liege	Load	380	50.52685947546831, 5.230963572599332	50.52685948	5.230963573	600	0.0049	0.01	0.013	0.077	0.0049	0	0.01	0.01	0.0049	0	0	0	0	0.01	0.01	0.022306209	0.022306209	0	0	0	0	0	0	0	0	0	0	0
18	HORTA	OV	Transfer	380	51.10966736479833, 3.5966489165750763	51.10966736	3.596648917	0	0.0246	0	0	0	0.0246	0	0	0	0.0246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	IZGEM	WV	Load	380	50.91835589191229, 3.210609120848162	50.91835589	3.210609121	980	0.038	0.049	0.022	0	0.038	0	0.041	0.047	0.038	0	0	0	0	0.036	0.046	0.033732249	0.033732249	0	0	0	0	0	0	0	0	0	0	0
20	JUPIL	Liege	Load	220	50.64586404194977, 5.637025767164532	50.64586404	5.637025767	860	0.0089	0.01	0.013	0.233	0.0089	0	0.01	0.01	0.0089	0	0	0	0.013	0.01	0.01	0.022306209	0.022306209	0	0	0	0	0	0	0	0	0	0	0
21	LINT	Antwerpen	Load	380	51.127386602883526, 4.4959425052437245	51.1273866	4.495942505	930	0.0683	0.04	0.025	0	0.0683	0	0.036	0.037	0.0683	0.101	0.101	0	0.125	0.04	0.038	0.033732249	0.033732249	0.17	0	0	0	0.17	0.159	0.136	0.153	0.401	0.163	0.5
22	LIXHE220	Liege	Load	220	50.757772036837, 5.68147586744814	50.75777204	5.681475867	350	0.0179	0.01	0.013	0.175	0.0179	0	0.01	0.01	0.0179	0.049	0.049	0	0	0.01	0.01	0.022306209	0.022306209	0	0	0	0	0	0	0	0	0	0	0
23	LIXHE380	Liege	Load	380	50.757772036837, 5.68147586744814	50.75777204	5.681475867	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	MAERL	WV	Transfer	380	51.23491551443654, 3.27090544172646	51.23491551	3.270905442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	MARC+	Luxembourg	Load	220	50.241800694260704, 5.731878239738597	50.24180069	5.73187824	105	0.0031	0.009	0.049	0	0.0031	0	0.017	0.008	0.0031	0	0	0	0	0.006	0.007	0.022306209	0.022306209	0	0	0	0	0	0	0	0	0	0	0
26	MASSE	Antwerpen	Load	380	51.19953975301956, 4.640115320595652	51.19953975	4.640115321	465	0.0307	0.04	0.025	0	0.0307	0	0.035	0.037	0.0307	0.101	0.101	0	0.125	0.04	0.038	0.033732249	0.033732249	0	0	0	0	0	0	0	0	0	0	0
27	MEERH	Antwerpen	Load	380	51.13244635374732, 5.077915808069741	51.13244635	5.077915808	1138	0.0408	0.04	0.025	0	0.0408	1	0.035	0.037	0.0408	0	0	0.09	0	0.04	0.038	0.033732249	0.033732249	0.17	0	0	0	0	0	0	0	0	0	0
28	MEKI+	VB	Load	380	50.786641350836526, 4.315182988606062	50.78664135	4.315182989	515	0.0588	0.046	0.011	0	0.0588	0	0.034	0.049	0.0588	0	0	0.098	0.141	0.074	0.061	0.072002485	0.072002485	0	0	0	0	0	0	0	0	0	0	0
29	MERCA	OV	Load	380	51.188276594903186, 4.260011458480095	51.18827659	4.260011458	1170	0.0241	0.039	0.036	0	0.0241	0	0.036	0.037	0.0241	0	0	0	0	0.031	0.034	0.033732249	0.033732249	0	0	0	0	0	0	0	0	0	0	0
30	NEMO	WV	Transfer	380	51.31676126917666, 3.1530132326074387	51.31676127	3.153013233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31	RIMIE220	Liege	Load	220	50.5421886898539, 5.470128416710061	50.54218869	5.470128417	160	0.0089	0.01	0.013	0	0.0089	0	0.01	0.01	0.0089	0.049	0.049	0	0	0.01	0.01	0.022306209	0.022306209	0	0	0	0	0	0	0	0	0	0	0
32	RIMIE380	Liege	Load	380	50.5421886898539, 5.470128416710061	50.54218869	5.470128417	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33	RODE+	OV	Load	380	51.14819981108262, 3.7978163952554165	51.14819981	3.797816395	465	0.0246	0.039	0.036	0	0.0246	0	0.036	0.037	0.0246	0.217	0.217	0.179	0.073	0.031	0.034	0.033732249	0.033732249	0	0	0	0	0.17	0.231	0.145	0.273	0.217	0.238	0
34	ROMSE	Liege	Load	220	50.61283862666161, 5.671782819949262	50.61283863	5.67178282	120	0.0089	0.01	0.013	0	0.0089	0	0.01	0.01	0.0089	0.049	0.049	0	0	0.01	0.01	0.022306209	0.022306209	0	0	0	0	0	0	0	0	0	0	0
35	SENO+	Luxembourg	Load	220	50.0015308471796, 5.6627864491565285	50.00153085	5.662786449	0	0.0014	0.009	0.049	0	0.0014	0	0.017	0.008	0.0014	0	0	0	0	0.006	0.007	0.022306209	0.022306209	0	0	0	0	0	0	0	0	0	0	0
36	SERAI	Liege	Load	220	50.60930462231008, 5.5124601193014255	50.60930462	5.512460119	280	0.0089	0.01	0.013	0	0.0089	0	0.01	0.01	0.0089	0.049	0.049	0.137	0.013	0.01	0.01	0.022306209	0.022306209	0.17	0	0	0	0.17	0.139	0.255	0.14	0.249	0.142	0
37	STAM+	Hainaut	Load	380	50.50684713967552, 4.552520751284019	50.50684714	4.552520751	645	0.017	0.059	0.064	0	0.017	0	0.054	0.061	0.017	0.067	0.067	0	0	0.056	0.052	0.022306209	0.022306209	0	0	0	0	0	0	0	0	0	0	0
38	STEVN	WV	Load	380	51.29674827311574, 3.1866373519789404	51.29674827	3.186637352	1320	0.0285	0.049	0.022	0	0.0285	0	0.11	0.047	0.0285	0	0	0	0.152	0.036	0.046	0.033732249	0.033732249	0.17	1	0	1	0	0	0	0	0	0	0.5
39	TIHA1	Liege	Load	380	50.530285123766745, 5.262613814190189	50.53028512	5.262613814	570	0.0121	0.01	0.013	0.109	0.0121	0	0.01	0.01	0.0121	0	0	0	0	0.01	0.01	0.022306209	0.022306209	0	0	0	0	0	0	0	0	0	0	0
40	VANYK	Limburg	Transfer	380	51.121523 , 5.773195	51.121523	5.773195	0	0.022	0	0	0	0.022	0	0	0	0.022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
41	VERBR	VB	Load	380	50.9477700117395, 4.416273642891725	50.94777001	4.416273643	1035	0.0918	0.046	0.011	0	0.0918	0	0.034	0.049	0.0918	0	0	0.054	0.141	0.074	0.061	0.072002485	0.072002485	0	0	0	0	0	0	0	0	0	0	0
42	VILLE	Luxembourg	Load	220	49.97905760358596, 5.6580449523584635	49.9790576	5.658044952	200	0.0087	0.009	0.049	0	0.0087	0	0.017	0.008	0.0087	0	0	0	0	0.006	0.007	0.022306209	0.022306209	0	0	0	0	0	0	0	0	0	0	0
43	ZANDV	Antwerpen	Load	380	51.36009165860345, 4.308919529074917	51.36009166	4.308919529	1085	0.0307	0.04	0.025	0	0.0307	0	0.036	0.037	0.0307	0.101	0.101	0.082	0	0.04	0.038	0.033732249	0.033732249	0	0	0	0	0	0	0	0	0	0	0
44	ZUTE+	Limburg	Load	380	50.933370429119755, 5.575430420524521	50.93337043	5.575430421	0	0.0456	0.087	0.085	0	0.0456	0	0.079	0.089	0.0456	0	0	0	0	0.081	0.094	0.033732249	0.033732249	0	0	0	0	0	0	0	0	0	0	0
45	ALBRT	Limburg	Load	/	51.0001038833871, 5.252728705407234	51.00010388	5.252728705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17	0.082	0.034	0.094	0	0.077	0
46	ALVER	WV	Transfer	/	51.012666340020424, 2.706309736080563	51.01266634	2.706309736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17	0	0	0	0	0	0	0	0
47	ZELZA	OV	Transfer	/	51.19915839854704, 3.8135669580413207	51.1991584	3.813566958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17	0	0	0	0	0	0	0	0
49	SGRAV	Limburg	Transfer	/	50.76432859515289, 5.780948070774785	50.7643286	5.780948071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17	0	0	0	0	0	0	0	0
50	EYNAT	Liege	Transfer	/	50.69421980765651, 6.088758330590751	50.69421981	6.088758331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17	0	0	0	0	0	0	0	0
51	BLARE	Hainaut	Transfer	/	50.357422219001236, 3.8987996212541653	50.35742222	3.898799621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17	0	0	0	0	0	0	0	0
