Line;FromNode;ToNode;UB (kV);Length (Km);Inom (A);R (ohm);X (ohm);wC (microS);Lat_from;Long_from;Lat_to;Long_to;r_ohm_per_km;x_ohm_per_km;wc_µs_per_km;Capacity_GW;MTTF;MTTR
1;ACHEN;GRAMM;380;36.9;1999;1.14;12.1;141.47;50.26782947;5.04563411;50.52685948;5.230963573;0.030894309;0.327913279;0.085530501;1.315700434;15000;120
2;AUBAN380;BRUME;380;104.4;2186;3.55;32.88;379.36;49.56383767;5.799275871;50.37604456;5.853543804;0.034003831;0.314942529;0.08667229;1.438779965;15000;120
3;AVLGM;HORTA;380;39.7;1999;1.23;13.02;146.89;50.77413141;3.44531579;51.10966736;3.596648917;0.030982368;0.327959698;0.088637756;1.315700434;15000;120
4;AVLGM;HORTA;380;39.7;2186;1.25;13;152.96;50.77413141;3.44531579;51.10966736;3.596648917;0.031486146;0.327455919;0.08498954;1.438779965;15000;120
5;AVLGM;IZGEM;380;22.8;2186;0.71;7.48;87.65;50.77413141;3.44531579;50.91835589;3.210609121;0.031140351;0.328070175;0.085339418;1.438779965;15000;120
6;AVLGM;IZGEM;380;22.8;2186;0.71;7.48;87.65;50.77413141;3.44531579;50.91835589;3.210609121;0.031140351;0.328070175;0.085339418;1.438779965;15000;120
7;BRUEG;MEKI+;380;14;1999;0.45;4.63;54.18;50.83851926;4.262445268;50.78664135;4.315182989;0.032142857;0.330714286;0.085455888;1.315700434;15000;120
8;BRUEG;COURC;380;47.3;2186;1.47;15.51;182.6;50.83851926;4.262445268;50.46313915;4.330503288;0.031078224;0.327906977;0.084939759;1.438779965;15000;120
9;BRUEG;BUGG+;380;15.9;1999;0.61;5.11;59.8;50.83851926;4.262445268;51.01466463;4.200122986;0.03836478;0.321383648;0.085451505;1.315700434;15000;120
10;BRUEG;BUGG+;380;15.9;2186;0.5;5.25;61.8;50.83851926;4.262445268;51.01466463;4.200122986;0.031446541;0.330188679;0.084951456;1.438779965;15000;120
11;BRUME;GRAMM;380;44.3;1999;1.37;14.53;164;50.37604456;5.853543804;50.52685948;5.230963573;0.030925508;0.327990971;0.088597561;1.315700434;15000;120
12;BRUME;GRAMM;380;44.3;2322;1.37;14.53;170.38;50.37604456;5.853543804;50.52685948;5.230963573;0.030925508;0.327990971;0.085279962;1.528292351;15000;120
13;BRUME;COO;380;2;1999;0.06;0.66;7.72;50.37604456;5.853543804;50.39463192;5.872615635;0.03;0.33;0.085492228;1.315700434;15000;120
14;BRUME;COO;380;2;1999;0.06;0.66;7.72;50.37604456;5.853543804;50.39463192;5.872615635;0.03;0.33;0.085492228;1.315700434;15000;120
15;BUGG+;MERCA;380;15.5;1999;0.59;5;58.6;51.01466463;4.200122986;51.18827659;4.260011458;0.038064516;0.322580645;0.085324232;1.315700434;15000;120
